id,sex,year,week,dist_week(km),time_week(s),elevation_week(m),nb_run_week,calories_week
8593716,M,2019,2,47.754,13870,755,4,3452
8593716,M,2019,6,35.879999999999995,12016,1069,4,3100
8593716,M,2019,4,24.042,6553,271,2,1914
8593716,M,2019,9,41.016,10911,554,4,3047.6
8593716,M,2019,10,46.2611,18508,2051.2999999999997,3,3104
8593716,M,2019,8,24.932000000000002,6367,9,2,1668
8593716,M,2019,11,46.0333,12173,572.2,4,3241
8593716,M,2019,12,47.326,16555,1096,4,3868
8593716,M,2019,13,20.221,6423,536,2,1658
8593716,M,2019,14,39.286,15305,2292,2,3247
8593716,M,2019,15,25.097,8080,736,3,1723
8593716,M,2019,17,26.747,8826,915,2,1829
8593716,M,2019,16,76.97399999999999,27135,2922,3,6966
8593716,M,2019,20,93.498,43879,5004,2,10540
8593716,M,2019,21,24.038,6816,261,2,1864
8593716,M,2019,23,19.041,5805,486,2,1706
8593716,M,2019,19,38.641000000000005,15477,1793,5,3603
8593716,M,2019,18,17.501,6420,824,1,1605
8593716,M,2019,24,41.197,14330,1053,4,3590
8593716,M,2019,26,31.804000000000002,15861,2167,2,4015
8593716,M,2019,25,7.865,2927,246,1,763
8593716,M,2019,27,40.289,17640,2095,3,4340
8593716,M,2019,30,35.982,14461,1614,3,3231
8593716,M,2019,28,24.927,8692,920,3,1989
8593716,M,2019,32,63.784,21476,786,5,3559
8593716,M,2019,31,36.346000000000004,11612,870,3,2883
8593716,M,2019,34,56.964,27424,3256,1,3804
8593716,M,2019,33,23.155,8040,943,2,1416
8593716,M,2019,40,18.424,4709,6,2,1386
8593716,M,2019,7,24.91,14158,1709,3,3101
8593716,M,2019,39,18.835,5289,3,2,1538
8593716,M,2019,41,28.367,8607,382,3,1810
8593716,M,2019,42,35.704,10378,254,4,2568
8593716,M,2019,44,21.614,5366,7,2,1275
8593716,M,2019,45,16.115,4474,271,2,1371
8593716,M,2019,46,43.348,10652,182,4,3315
8593716,M,2019,5,37.370000000000005,10592,270,3,2669
8593716,M,2019,47,54.873,15402,510,4,4540
8593716,M,2019,1,58.763,15283,683.6,4,4038
8593716,M,2019,48,11.791,2929,19,1,783
8593716,M,2019,43,42.033,11815,632,4,3160
8593716,M,2019,51,38.628,10453,497,4,2868
8593716,M,2019,49,9.999,2429,730,1,691
8593716,M,2019,52,22.048000000000002,5595,25,2,1664
8593716,M,2020,1,51.521,12961,113,4,3312
8593716,M,2020,2,30.447,7855,62,2,1154
8593716,M,2020,4,26.355999999999998,8307,1839,3,2112
8593716,M,2020,6,24.723,8727,904,2,1716
8593716,M,2020,9,23.905,5844,107,2,1094
8593716,M,2020,8,11.448,3801,332,1,644
8593716,M,2020,11,41.461999999999996,11642,566,4,2584
8593716,M,2020,5,32.466,9289,876,3,2742
8593716,M,2020,10,26.661,7227,190,2,1810
8593716,M,2020,12,54.189,15531,1025,6,3284
8593716,M,2020,14,45.959,12352,762,5,2443
8593716,M,2020,13,58.089,15462,1127,6,2296
8593716,M,2020,15,65.147,19556,1571,6,4533
8593716,M,2020,18,64.787,18413,1087,6,3758.3
8593716,M,2020,16,71.089,20424,923,7,4610
8593716,M,2020,17,61.8958,17462,803.7,6,5389
8593716,M,2020,19,47.89,14419,916,4,3669
8593716,M,2020,20,34.512,8982,190,3,2403
8593716,M,2020,21,46.631,13785,1077,4,3344
8593716,M,2020,22,28.921,8216,328,3,1101
8593716,M,2020,24,25.931,8420,728,4,2377
8593716,M,2020,25,23.361,5816,48,2,1784
8593716,M,2020,23,44.489,11994,586,5,3703
8593716,M,2020,27,36.074,11465,950,3,2415
8593716,M,2020,26,20.457,5559,98,2,468
8593716,M,2020,28,12.054,2593,12,1,825
8593716,M,2020,29,34.929,10022,738,3,1825
8593716,M,2020,30,15.512,4470,272,2,852
8593716,M,2020,31,21.391,6328,519,2,1420
8593716,M,2020,32,74.61699999999999,19216,115,5,3301
8593716,M,2020,33,9.783,3620,428,1,1086
8593716,M,2020,35,21.831000000000003,5300,12,2,1387
8593716,M,2020,34,64.042,32372,3974,1,6539
8593716,M,2020,38,35.296,8650,53,3,2907
8593716,M,2020,36,35.400999999999996,9110,38,3,1704
8593716,M,2020,39,44.127,11793,459,4,2005
8593716,M,2020,40,53.816,14972,457,5,4204
8593716,M,2020,43,38.068,9863,279,4,2992
8593716,M,2020,44,54.153,14658,596,5,4745
8593716,M,2020,41,36.815,9783,600,3,2744
8593716,M,2020,45,80.655,29975,2118,5,7111
8593716,M,2020,46,65.528,19185,932,6,5634
8593716,M,2020,42,44.556,11137,41,4,2665
8593716,M,2020,47,49.941,13770,533,5,4328
8593716,M,2020,48,26.877,6743,84,6,1362
8593716,M,2020,49,63.218,16253,418,7,4503
8593716,M,2020,51,135.875,36442,781,6,11667
8593716,M,2020,50,112.211,29472,212,7,9407
8593716,M,2020,52,10.122,2600,22,1,673
8593716,M,2021,1,11.798,4232,547,2,1031
8593716,M,2021,2,35.445,11193,1164,4,2704
